InvoiceDate,StockCode,TotalQuantity
2010-01-07,62096A,3
2010-01-08,62096A,1
2010-01-09,62096A,1
2010-01-10,62096A,1
2010-01-11,62096A,1
2010-01-12,62096A,1
2010-01-13,62096A,1
2010-01-14,62096A,1
2010-01-15,62096A,1
2010-01-16,62096A,1
2010-01-17,62096A,1
2010-01-18,62096A,1
2010-01-19,62096A,1
2010-01-20,62096A,1
2010-01-21,62096A,1
2010-01-22,62096A,1
2010-01-23,62096A,1
2010-01-24,62096A,1
2010-01-25,62096A,1
2010-01-26,62096A,1
2010-01-27,62096A,1
2010-01-28,62096A,1
2010-01-29,62096A,1
2010-01-30,62096A,1
2010-01-31,62096A,1
2010-02-01,62096A,1
2010-02-02,62096A,1
2010-02-03,62096A,1
2010-02-04,62096A,1
2010-02-05,62096A,1
2010-02-06,62096A,1
2010-02-07,62096A,1
2010-02-08,62096A,1
2010-02-09,62096A,1
2010-02-10,62096A,1
2010-02-11,62096A,7
2010-02-12,62096A,1
2010-02-13,62096A,1
2010-02-14,62096A,1
2010-02-15,62096A,1
2010-02-16,62096A,1
2010-02-17,62096A,1
2010-02-18,62096A,1
2010-02-19,62096A,1
2010-02-20,62096A,1
2010-02-21,62096A,1
2010-02-22,62096A,1
2010-02-23,62096A,1
2010-02-24,62096A,1
2010-02-25,62096A,1
2010-02-26,62096A,1
2010-02-27,62096A,1
2010-02-28,62096A,1
2010-03-01,62096A,1
2010-03-02,62096A,1
2010-03-03,62096A,1
2010-03-04,62096A,1
2010-03-05,62096A,1
2010-03-06,62096A,1
2010-03-07,62096A,1
2010-03-08,62096A,1
2010-03-09,62096A,1
2010-03-10,62096A,1
2010-03-11,62096A,3
2010-03-12,62096A,1
2010-03-13,62096A,1
2010-03-14,62096A,1
2010-03-15,62096A,1
2010-03-16,62096A,1
2010-03-17,62096A,1
2010-03-18,62096A,1
2010-03-19,62096A,1
2010-03-20,62096A,1
2010-03-21,62096A,1
2010-03-22,62096A,7
2010-03-23,62096A,1
2010-03-24,62096A,1
2010-03-25,62096A,1
2010-03-26,62096A,1
2010-03-27,62096A,1
2010-03-28,62096A,1
2010-03-29,62096A,1
2010-03-30,62096A,1
2010-03-31,62096A,1
2010-04-01,62096A,8
2010-04-02,62096A,1
2010-04-03,62096A,1
2010-04-04,62096A,1
2010-04-05,62096A,1
2010-04-06,62096A,1
2010-04-07,62096A,1
2010-04-08,62096A,1
2010-04-09,62096A,1
2010-04-10,62096A,1
2010-04-11,62096A,1
2010-04-12,62096A,1
2010-04-13,62096A,1
2010-04-14,62096A,1
2010-04-15,62096A,1
2010-04-16,62096A,1
2010-04-17,62096A,1
2010-04-18,62096A,1
2010-04-19,62096A,1
2010-04-20,62096A,5
2010-04-21,62096A,1
2010-04-22,62096A,1
2010-04-23,62096A,2
2010-04-24,62096A,1
2010-04-25,62096A,1
2010-04-26,62096A,1
2010-04-27,62096A,1
2010-04-28,62096A,1
2010-04-29,62096A,1
2010-04-30,62096A,3
2010-05-01,62096A,1
2010-05-02,62096A,2
2010-05-03,62096A,1
2010-05-04,62096A,1
2010-05-05,62096A,1
2010-05-06,62096A,2
2010-05-07,62096A,1
2010-05-08,62096A,1
2010-05-09,62096A,1
2010-05-10,62096A,2
2010-05-11,62096A,2
2010-05-12,62096A,7
2010-05-13,62096A,1
2010-05-14,62096A,1
2010-05-15,62096A,1
2010-05-16,62096A,1
2010-05-17,62096A,1
2010-05-18,62096A,1
2010-05-19,62096A,1
2010-05-20,62096A,1
2010-05-21,62096A,1
2010-05-22,62096A,1
2010-05-23,62096A,1
2010-05-24,62096A,1
2010-05-25,62096A,1
2010-05-26,62096A,1
2010-05-27,62096A,3
2010-05-28,62096A,1
2010-05-29,62096A,1
2010-05-30,62096A,7
2010-05-31,62096A,1
2010-06-01,62096A,2
2010-06-02,62096A,31
2010-06-03,62096A,1
2010-06-04,62096A,2
2010-06-05,62096A,1
2010-06-06,62096A,3
2010-06-07,62096A,7
2010-06-08,62096A,2
2010-06-09,62096A,14
2010-06-10,62096A,1
2010-06-11,62096A,13
2010-06-12,62096A,1
2010-06-13,62096A,7
2010-06-14,62096A,3
2010-06-15,62096A,2
2010-06-16,62096A,10
2010-06-17,62096A,1
2010-06-18,62096A,2
2010-06-19,62096A,1
2010-06-20,62096A,1
2010-06-21,62096A,2
2010-06-22,62096A,1
2010-06-23,62096A,1
2010-06-24,62096A,1
2010-06-25,62096A,8
2010-06-26,62096A,1
2010-06-27,62096A,1
2010-06-28,62096A,1
2010-06-29,62096A,1
2010-06-30,62096A,5
2010-07-01,62096A,1
2010-07-02,62096A,1
2010-07-03,62096A,1
2010-07-04,62096A,3
2010-07-05,62096A,1
2010-07-06,62096A,6
2010-07-07,62096A,2
2010-07-08,62096A,6
2010-07-09,62096A,2
2010-07-10,62096A,1
2010-07-11,62096A,3
2010-07-12,62096A,5
2010-07-13,62096A,2
2010-07-14,62096A,1
2010-07-15,62096A,1
2010-07-16,62096A,1
2010-07-17,62096A,1
2010-07-18,62096A,4
2010-07-19,62096A,2
2010-07-20,62096A,1
2010-07-21,62096A,7
2010-07-22,62096A,1
2010-07-23,62096A,3
2010-07-24,62096A,1
2010-07-25,62096A,5
2010-07-26,62096A,2
2010-07-27,62096A,1
2010-07-28,62096A,7
2010-07-29,62096A,3
2010-07-30,62096A,1
2010-07-31,62096A,1
2010-08-01,62096A,1
2010-08-02,62096A,1
2010-08-03,62096A,1
2010-08-04,62096A,1
2010-08-05,62096A,13
2010-08-06,62096A,1
2010-08-07,62096A,1
2010-08-08,62096A,1
2010-08-09,62096A,1
2010-08-10,62096A,2
2010-08-11,62096A,2
2010-08-12,62096A,1
2010-08-13,62096A,1
2010-08-14,62096A,1
2010-08-15,62096A,1
2010-08-16,62096A,1
2010-08-17,62096A,1
2010-08-18,62096A,1
2010-08-19,62096A,1
2010-08-20,62096A,8
2010-08-21,62096A,1
2010-08-22,62096A,1
2010-08-23,62096A,1
2010-08-24,62096A,2
2010-08-25,62096A,1
2010-08-26,62096A,1
2010-08-27,62096A,1
2010-08-28,62096A,1
2010-08-29,62096A,1
2010-08-30,62096A,1
2010-08-31,62096A,2
2010-09-01,62096A,1
2010-09-02,62096A,8
2010-09-03,62096A,1
2010-09-04,62096A,1
2010-09-05,62096A,1
2010-09-06,62096A,3
2010-09-07,62096A,2
2010-09-08,62096A,1
2010-09-09,62096A,2
2010-09-10,62096A,1
2010-09-11,62096A,1
2010-09-12,62096A,1
2010-09-13,62096A,2
2010-09-14,62096A,1
2010-09-15,62096A,7
2010-09-16,62096A,1
2010-09-17,62096A,1
2010-09-18,62096A,1
2010-09-19,62096A,1
2010-09-20,62096A,1
2010-09-21,62096A,1
2010-09-22,62096A,1
2010-09-23,62096A,1
2010-09-24,62096A,1
2010-09-25,62096A,1
2010-09-26,62096A,1
2010-09-27,62096A,2
2010-09-28,62096A,1
2010-09-29,62096A,1
2010-09-30,62096A,1
2010-10-01,62096A,1
2010-10-02,62096A,1
2010-10-03,62096A,1
2010-10-04,62096A,1
2010-10-05,62096A,7
2010-10-06,62096A,1
2010-10-07,62096A,2
2010-10-08,62096A,1
2010-10-09,62096A,1
2010-10-10,62096A,1
2010-10-11,62096A,1
2010-10-12,62096A,6
2010-10-13,62096A,1
2010-10-14,62096A,1
2010-10-15,62096A,1
2010-10-16,62096A,1
2010-10-17,62096A,13
2010-10-18,62096A,2
2010-10-19,62096A,1
2010-10-20,62096A,1
2010-10-21,62096A,1
2010-10-22,62096A,1
2010-10-23,62096A,1
2010-10-24,62096A,7
2010-10-25,62096A,1
2010-10-26,62096A,1
2010-10-27,62096A,1
2010-10-28,62096A,1
2010-10-29,62096A,1
2010-10-30,62096A,1
2010-10-31,62096A,1
2010-11-01,62096A,1
2010-11-02,62096A,1
2010-11-03,62096A,1
2010-11-04,62096A,1
2010-11-05,62096A,1
2010-11-06,62096A,1
2010-11-07,62096A,1
2010-11-08,62096A,1
2010-11-09,62096A,1
2010-11-10,62096A,1
2010-11-11,62096A,1
2010-11-12,62096A,1
2010-11-13,62096A,1
2010-11-14,62096A,1
2010-11-15,62096A,1
2010-11-16,62096A,1
2010-11-17,62096A,7
2010-11-18,62096A,1
2010-11-19,62096A,1
2010-11-20,62096A,1
2010-11-21,62096A,1
2010-11-22,62096A,1
2010-11-23,62096A,8
2010-11-24,62096A,1
2010-11-25,62096A,1
2010-11-26,62096A,1
2010-11-27,62096A,1
2010-11-28,62096A,1
2010-11-29,62096A,1
2010-11-30,62096A,1
2010-12-01,62096A,1
2010-12-02,62096A,7
2010-12-03,62096A,1
2010-12-04,62096A,1
2010-12-05,62096A,1
2010-12-06,62096A,1
2010-12-07,62096A,1
2010-12-08,62096A,7
2010-12-09,62096A,1
2010-12-10,62096A,1
2010-12-11,62096A,1
2010-12-12,62096A,1
2010-12-13,62096A,1
2010-12-14,62096A,1
2010-12-15,62096A,7
2010-12-16,62096A,1
2010-12-17,62096A,1
2010-12-18,62096A,1
2010-12-19,62096A,1
2010-12-20,62096A,1
2010-12-21,62096A,1
2010-12-22,62096A,1
2010-12-23,62096A,1
2010-12-24,62096A,1
2010-12-25,62096A,1
2010-12-26,62096A,1
2010-12-27,62096A,1
2010-12-28,62096A,1
2010-12-29,62096A,1
2010-12-30,62096A,1
2010-12-31,62096A,1
2011-01-01,62096A,1
2011-01-02,62096A,1
2011-01-03,62096A,1
2011-01-04,62096A,1
2011-01-05,62096A,1
2011-01-06,62096A,1
2011-01-07,62096A,1
2011-01-08,62096A,1
