InvoiceDate,StockCode,TotalQuantity
2009-12-09,16168M,4
2009-12-10,16168M,13
2009-12-11,16168M,1
2009-12-12,16168M,1
2009-12-13,16168M,1
2009-12-14,16168M,289
2009-12-15,16168M,1
2009-12-16,16168M,145
2009-12-17,16168M,145
2009-12-18,16168M,1
2009-12-19,16168M,1
2009-12-20,16168M,1
2009-12-21,16168M,1
2009-12-22,16168M,2
2009-12-23,16168M,1
2009-12-24,16168M,1
2009-12-25,16168M,1
2009-12-26,16168M,1
2009-12-27,16168M,1
2009-12-28,16168M,1
2009-12-29,16168M,1
2009-12-30,16168M,1
2009-12-31,16168M,1
2010-01-01,16168M,1
2010-01-02,16168M,1
2010-01-03,16168M,1
2010-01-04,16168M,1
2010-01-05,16168M,145
2010-01-06,16168M,1
2010-01-07,16168M,1
2010-01-08,16168M,1
2010-01-09,16168M,1
2010-01-10,16168M,1
2010-01-11,16168M,3
2010-01-12,16168M,1
2010-01-13,16168M,1
2010-01-14,16168M,1
2010-01-15,16168M,25
2010-01-16,16168M,1
2010-01-17,16168M,1
2010-01-18,16168M,2
2010-01-19,16168M,1
2010-01-20,16168M,1
2010-01-21,16168M,1
2010-01-22,16168M,2
2010-01-23,16168M,1
2010-01-24,16168M,1
2010-01-25,16168M,1
2010-01-26,16168M,1
2010-01-27,16168M,1
2010-01-28,16168M,2
2010-01-29,16168M,13
2010-01-30,16168M,1
2010-01-31,16168M,13
2010-02-01,16168M,1
2010-02-02,16168M,1
2010-02-03,16168M,1
2010-02-04,16168M,27
2010-02-05,16168M,1
2010-02-06,16168M,1
2010-02-07,16168M,1
2010-02-08,16168M,1
2010-02-09,16168M,2
2010-02-10,16168M,1
2010-02-11,16168M,1
2010-02-12,16168M,1
2010-02-13,16168M,1
2010-02-14,16168M,1
2010-02-15,16168M,1
2010-02-16,16168M,1
2010-02-17,16168M,1
2010-02-18,16168M,1
2010-02-19,16168M,1
2010-02-20,16168M,1
2010-02-21,16168M,1
2010-02-22,16168M,1
2010-02-23,16168M,1
2010-02-24,16168M,1
2010-02-25,16168M,1
2010-02-26,16168M,1
2010-02-27,16168M,1
2010-02-28,16168M,1
2010-03-01,16168M,1
2010-03-02,16168M,1
2010-03-03,16168M,25
2010-03-04,16168M,1
2010-03-05,16168M,2
2010-03-06,16168M,1
2010-03-07,16168M,1
2010-03-08,16168M,1
2010-03-09,16168M,1
2010-03-10,16168M,2
2010-03-11,16168M,1
2010-03-12,16168M,1
2010-03-13,16168M,1
2010-03-14,16168M,1
2010-03-15,16168M,25
2010-03-16,16168M,1
2010-03-17,16168M,1
2010-03-18,16168M,1
2010-03-19,16168M,1
2010-03-20,16168M,1
2010-03-21,16168M,1
2010-03-22,16168M,26
2010-03-23,16168M,1
2010-03-24,16168M,145
2010-03-25,16168M,1
2010-03-26,16168M,1
2010-03-27,16168M,1
2010-03-28,16168M,1
2010-03-29,16168M,26
2010-03-30,16168M,1
2010-03-31,16168M,23
2010-04-01,16168M,1
2010-04-02,16168M,1
2010-04-03,16168M,1
2010-04-04,16168M,1
2010-04-05,16168M,1
2010-04-06,16168M,1
2010-04-07,16168M,1
2010-04-08,16168M,1
2010-04-09,16168M,1
2010-04-10,16168M,1
2010-04-11,16168M,1
2010-04-12,16168M,1
2010-04-13,16168M,1
2010-04-14,16168M,1
2010-04-15,16168M,1
2010-04-16,16168M,1
2010-04-17,16168M,1
2010-04-18,16168M,1
2010-04-19,16168M,1
2010-04-20,16168M,1
2010-04-21,16168M,26
2010-04-22,16168M,1
2010-04-23,16168M,1
2010-04-24,16168M,1
2010-04-25,16168M,1
2010-04-26,16168M,1
2010-04-27,16168M,1
2010-04-28,16168M,1
2010-04-29,16168M,1
2010-04-30,16168M,1
2010-05-01,16168M,1
2010-05-02,16168M,13
2010-05-03,16168M,1
2010-05-04,16168M,1
2010-05-05,16168M,26
2010-05-06,16168M,2
2010-05-07,16168M,1
2010-05-08,16168M,1
2010-05-09,16168M,1
2010-05-10,16168M,1
2010-05-11,16168M,3
2010-05-12,16168M,1
2010-05-13,16168M,1
2010-05-14,16168M,1
2010-05-15,16168M,1
2010-05-16,16168M,1
2010-05-17,16168M,1
2010-05-18,16168M,1
2010-05-19,16168M,1
2010-05-20,16168M,4
2010-05-21,16168M,1
2010-05-22,16168M,1
2010-05-23,16168M,1
2010-05-24,16168M,1
2010-05-25,16168M,2
2010-05-26,16168M,1
2010-05-27,16168M,1
2010-05-28,16168M,1
2010-05-29,16168M,1
2010-05-30,16168M,1
2010-05-31,16168M,1
2010-06-01,16168M,1
2010-06-02,16168M,1
2010-06-03,16168M,25
2010-06-04,16168M,9
2010-06-05,16168M,1
2010-06-06,16168M,2
2010-06-07,16168M,1
2010-06-08,16168M,2
2010-06-09,16168M,1
2010-06-10,16168M,1
2010-06-11,16168M,1
2010-06-12,16168M,1
2010-06-13,16168M,1
2010-06-14,16168M,17
2010-06-15,16168M,1
